listing_id,state,user_id,category_id,title,description,creation_tsz,ending_tsz,original_creation_tsz,last_modified_tsz,price,currency_code,quantity,sku,tags,category_path,category_path_ids,materials,shop_section_id,featured_rank,state_tsz,url,views,num_favorers,shipping_template_id,processing_min,processing_max,who_made,is_supply,when_made,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,is_private,recipient,occasion,style,non_taxable,is_customizable,is_digital,file_data,should_auto_renew,language,has_variations,taxonomy_id,taxonomy_path,used_manufacturer,is_vintage
557699828,active,100252069,68887494,"Let It Snow Confetti Poppers,  Winter Wedding Send Off, Stocking Stuffers for Kids","These push up confetti poppers make the perfect stocking stuffers, unique winter wedding send off or wedding favors.  These confetti push pops can will enhance your winter wedding perfectly filled with white tissue paper confetti these little push-pop confetti favor poppers are the perfect Wedding Send Off Confetti! Makes the confetti toss unique - choose your own colors for these custom party poppers.  Sparkly little snowflakes on a label that exclaims &quot;Let it snow&quot;.  Tissue paper is biodegradable, so safe for use outdoors! 

Party Popper is approximately 7 inches from top to bottom.  Approximate 2 inch diameter at widest point.

DISCOUNTS PROVIDED ON SETS IN THE DROP DOWN MENU.  


Please note, these are hand pump action confetti poppers - they are not pressurized.  Supervise children when using.  Point away from face.

YES! I can create custom labels for you!  Please message me to work together to make your event match your vision.  I love custom orders and I&#39;d be happy to help you with making a special popper favor for you!

More Seasonal and winter items in the shop at:
https://www.etsy.com/shop/enfete?section_id=24541661

BABY IT&#39;S COLD OUTSIDE SIGN:
https://www.etsy.com/listing/642189406/baby-its-cold-outside-sign-baby-shower?ref=shop_home_active_1

+++ YES I can make custom confetti for your event!   I love custom orders and we can work together to customize the perfect products for your event.

I want your event to be just perfect!


Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573509799,1583960599,1510457428,1573509799,5.00,USD,4,['HM-CP-SNOW'],"['snow toss', 'confetti poppers', 'Wedding Send off', 'confetti send off', 'wedding favor', 'let it snow', 'stocking stuffers', 'winter wonderland', 'snow poppers', 'winter wedding', 'snow send off', 'snow', 'wedding popper']",['Weddings'],[68887494],"['love and joy', '7 inch push pops', 'white tissue paper']",22299203,,1559362575,https://www.etsy.com/listing/557699828/let-it-snow-confetti-poppers-winter?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,3262,242,30193416802,1,3,i_did,false,2010_2019,2,oz,6.5,6,0.25,in,False,girls,,"['Fantasy', 'Traditional']",False,True,False,,False,en-US,True,1671,"['Weddings', 'Gifts & Mementos', 'Wedding Favors']",False,False
674900571,active,100252069,69150433,"Oh Baby Balloons, Gold Confetti Balloons","&#39;Oh Baby&#39; gold confetti balloons are a great way to decorate any room. The gold confetti shines away inside the balloons adding sparkle to your baby shower. A stunning focal point - These balloons are very stylish and will be loved by everyone.

Blow these balloons up with helium and air, then shake to wake the confetti. Place in your venue with our &#39;Oh Baby&#39; backdrop for a beautiful centerpiece for your celebrations.
Each pack contains five confetti balloons measuring 12&quot; (Diameter).

Balloons are shipped flat - just add air or helium on arrival! 

HOW MANY?

This listing is for FIVE clear 12-inch balloons filled with ROUND GOLD CONFETTI and printed with Oh Baby!

IS THE TAIL INCLUDED?

The tails are ordered separately from the balloons in the drop-down menu.  You must add a set of balloons and a set of tails to your order (cart) to receive both.

Please note, when filled with helium confetti settles and can be shaken to help increase &#39;static&#39; to stick to sides   Filling with plain air gives a more dramatic look and more confetti sticks to the sides.  Not a toy!


Lots more matching OH BABY Themed items in the shop!  Complete your WHOLE party with Enfete!


Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573504809,1583955609,1547485908,1573504809,3.00,USD,95,['GR-OB-108'],"['clear balloons', 'confetti balloons', 'confetti filled', 'glam balloons', 'balloon bouquet', 'oh baby balloons', 'baby shower decor', 'baby girl shower', 'baby boy shower', 'new baby gift', 'sip and see decor', 'gold glitter balloon', 'backdrop']",['Supplies'],[69150433],['Latex'],20790664,,1572905856,https://www.etsy.com/listing/674900571/oh-baby-balloons-gold-confetti-balloons?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,1646,223,30193416802,1,3,someone_else,true,2010_2019,3,oz,8,4,2,in,False,,,,False,True,False,,False,en-US,True,6610,"['Craft Supplies & Tools', 'Party & Gifting', 'Party Supplies', 'Balloons']",False,False
687219483,active,100252069,69150433,"Best Day Ever Napkins, Rose Gold Wedding Tableware","Sweet and sophisticated Best Day Ever rose gold and white paper wedding napkins.  The details on these napkins are amazing! Elegant and sophisticated.  Truly glam.

These napkins make the finishing touch to your fall and winter celebrations. The pretty rose gold finish will shine away at your party and look stunning for your table setting and will be loved by guests! Perfect for a bridal shower, baby shower, wedding shower, or I Do BBQ - perfect for the newly engaged!

Each pack includes 20 napkins which measure: 6.5 squared when folded. Napkins are 3 ply.
 
Complete your whole event with EnFete - Giant balloons, garlands, Best Day Eer cake toppers and more - all sold separately by EnFete.


Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573501120,1583951920,1551483990,1573501120,6.00,USD,16,['GR-BB-265'],"['baby shower', 'bridal shower napkin', 'mimosa bar', 'bubbly bar napkins', 'sip sip hooray', 'best day ever', 'engagement party', 'retirement party', 'champagne gold', 'gold wedding napkins', 'rehearsal dinner', 'wedding napkins', 'fall wedding']",['Supplies'],[69150433],['Paper'],25201805,,1571871478,https://www.etsy.com/listing/687219483/best-day-ever-napkins-rose-gold-wedding?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,95,10,30193416802,1,3,someone_else,true,2010_2019,4,oz,8,6,4,in,False,,,,False,False,False,,True,en-US,False,6858,"['Craft Supplies & Tools', 'Party & Gifting', 'Party Supplies', 'Tableware', 'Napkins']",False,False
622280016,active,100252069,68887494,"Bridesmaid Proposal Poppers, MOH Proposal, Pop the Question, Will You Be My Maid of Honor, Flower Girl Confetti Poppers","Now it&#39;s your turn to Pop the Question with these Wedding Party Proposal Poppers to ask: Will you be my maid of honor, bridesmaid, flower girl, matron of honor, Jr Bridesmaid.  Gold, blush and white confetti poppers make a perfect gift idea.  Your MOH, and the rest of the bridal party are a special part of the big day, and ask them in a unique way by sending them custom confetti party pops in beautiful rose gold, pink and gold confetti.  Send directly or order together for you to give them directly.  If you wish to have them sent directly, please place one order for each shipping address.  


Do you need proposal pops for any other wedding party members you don&#39;t see pictured?  I can make these for other wedding party members, just message me and we can coordinate your custom pops. 


Party Popper is approximately 7 inches from top to bottom.  Approximate 2 inch diameter at widest point.

Each label has hand applied white snow glitter to accent the custom proposal labels. AS SHOWN: Confetti is metallic gold, blush, white and cream.

Price is for ONE popper.  Please select the total number you need, and which label you want.  



TO ORDER:

1)  Choose Label Design in first drop down (bridesmaid, maid of honor (MOH), matron of honor, flower girl, ring bearer, junior bridesmaid or junior groomsman, or bridesman)

2)  If you just want as pictured, select  &quot;as pictured&quot;, if you want to design your own colors select &quot;custom colors&quot;.

3) Select the quantity that you want.

4) Add to cart.

5)  List any ADDITIONAL/substitute colors you would like in your confetti in the NOTES section at checkout (up to FOUR custom colors)   Confetti is square hand cut confetti made from tissue paper and crinkle cut paper.  (Rose Gold is a combination of tissue paper and mylar.)

****Choose from over 40 confetti colors! : blush, light pink, coral rose, Azalea, Hot Pink, Raspberry, Cerise, Cranberry, Cabernet, Burgundy, Plum, Red, Forest, Moss, Green, Apple Green, Mint, Aqua, Teal, Baby Blue, Smokey Blue, Brilliant Blue, Sapphire Blue, Navy Blue, Lavender, Purple, Light Grey, Dark Grey, Black Sparkle, Black, Silver (metallic shine), Birch, Cream, Rose Gold, Antique Gold, Gold (metallic shine), Light Yellow, Yellow, Sunflower Yellow, Peach, Orange and White.

6) If you want to ship your order right to the wedding party member directly, remember to include YOUR note to them as well.  You will need to checkout for each separately shipped order to different addresses.  Each order ships in my beautiful washi tape white boxes, and these proposal pops are wrapped up in tissue paper!  The perfect and affordable way to get each pop delivered in style (standard shipping gets your order there in 3-5 days, upgrade to priority mail if you want fast shipping.) 

Current processing time is 3-5 days.  

Please note, these are hand pump action confetti poppers - they are not pressurized.  Supervise children when using.  Point away from face.

If you need larger quantities for an event, please message me. On orders of poppers over $50 (US) I offer a discount, so please message me to receive the code! 

I want to ensure you receive everything well in advance of your event.  


+++ YES I can make custom confetti, cake toppers and banners for your wedding!   I love custom orders and we can work together to customize the perfect products for your event.

Check out the rest of the shop for LOTS of ideas to get started dreaming about your big day!




Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/6ecc3acc09/a7553b3a6c",1573496021,1583946821,1534203701,1573496021,5.50,USD,11,['HM-POPTHE'],"['ring bearer', 'confetti poppers', 'will you be my', 'maid of honor', 'flower girl', 'junior bridesmaid', 'pop the question', 'bridesmaid proposal', 'matron of honor', 'jr groomsman', 'confetti push pops', 'MOH Proposal', 'ask bridesmaid']",['Weddings'],[68887494],"['love and joy', 'tissue paper', '7 inch push pops', 'gold confetti', 'white confetti', 'blush confetti']",22299203,,1568051872,https://www.etsy.com/listing/622280016/bridesmaid-proposal-poppers-moh-proposal?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,2447,130,30193416802,1,3,i_did,false,2010_2019,3,oz,6.5,6,0.25,in,False,girls,,"['Fantasy', 'Traditional']",False,True,False,,False,en-US,True,1666,"['Weddings', 'Gifts & Mementos', ""Bridesmaids' Gifts""]",False,False
668339894,active,100252069,69150367,"Wedding Photo Props, Best Day Ever Instagram Props, Photo Booth Cutouts","Create lasting memories with our &#39;Giant Polaroid Sign&#39; photo booth prop!  Family and friends will love taking cool photos with our giant polaroid sign - fun for everyone!   Perfect for weddings, bridal showers or Your Kentucky Derby Party!


The rustic scripted &#39;best day ever&#39; grey text will look beautiful framing your guests fun pictures! A prop for everlasting wedding day fun and memories.

Place the polaroid frame in an area with our rustic country themed photo booth props (sold separately! for your very own photo booth! 

Each pack contains one frame measuring 32 inch (H), 23.5 (W) - props on sticks sold separately.

Light Assembly Required!  You simply slide the pieces together like a puzzle - they fit together with a tongue and groove like assembly.  

No personalization is available on this frame, sorry!


TONS more photo booth props, backdrops, banners and balloons to make your Photo Booth Complete!


Complete your whole party with EnFete – browse the shop to find matching boutique party supplies – everything from cups and plates, to banners and balloons.  Everything you need to put together a perfectly coordinated party.


Subscribe to receive info on new items & sales, party tips and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573492715,1583943515,1549849871,1573492715,35.00,USD,12,['GR-CW-253'],"['photo booth props', 'instagram props', 'photo booth ideas', 'wedding photo props', 'best day ever', 'wedding games', 'Rustic wedding', 'botanical wedding', 'Kentucky Derby Party', 'country wedding', 'bridal shower decor', 'giant polaroid frame', 'instamax giant frame']",['Paper Goods'],[69150367],"['lots of love', 'giant picture film border']",25201797,,1550173804,https://www.etsy.com/listing/668339894/wedding-photo-props-best-day-ever?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,953,52,49554166468,1,1,someone_else,true,2010_2019,17,oz,18,18,4,in,False,,,,False,False,False,,True,en-US,False,1332,"['Paper & Party Supplies', 'Party Supplies', 'Party Décor', 'Backdrops & Props']",False,False
663875292,active,100252069,69150367,"Wedding Photo Props,  Instagram Props, Wedding Photo Booth Cutouts, Wedding Reception Ideas","These &#39;Photo Booth Props&#39; will have all your guests laughing and having fun on your special day. Watch as guests giggle away and use our gorgeous props to make some fabulous photos! Our props will provide hours of entertainment and memories that you will look back on forever.

These perfect props are in classic rustic country colors, the pinks, creams, and greys look magical altogether. Hold the sticks and pose with the props for unique photos - fun for all your guests. 

Each pack comes with a bow tie, flower bouquet, champagne bottle, top hat, hooray heart, mustache, champagne glass, just married arrow, best day ever glasses, and floral fun glasses.

Each pack contains ten props varying in sizes. The largest prop measures 9.5 inches (H) and 7 in (W). 



Complete your whole party with EnFete – browse the shop to find matching boutique party supplies – everything from cups and plates, to banners and balloons.  Everything you need to put together a perfectly coordinated party.


Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573492711,1583943511,1548390341,1573492711,12.00,USD,38,['GR-CW-246'],"['photo booth props', 'instagram props', 'champagne photo prop', 'photo booth ideas', 'photo backdrop', 'wedding photo props', 'best day ever', 'wedding reception', 'wedding games', 'team groom', 'team bride', 'Rustic wedding', 'vintage wedding']",['Paper Goods'],[69150367],"['lots of love', '10 photo booth props']",25201797,,1570681395,https://www.etsy.com/listing/663875292/wedding-photo-props-instagram-props?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,1001,138,49554166468,1,1,someone_else,true,2010_2019,8,oz,8,6,4,in,False,,,,False,False,False,,True,en-US,False,1332,"['Paper & Party Supplies', 'Party Supplies', 'Party Décor', 'Backdrops & Props']",False,False
690017943,active,100252069,69150433,White Balloon Garland Kit - 70 Balloons,"A great addition to any party a White balloon arch kit will be a focal point at any celebration! Coordinates with the Rustic Wedding Collection, floral bridal shower, and Oh Baby baby shower lines PERFECTLY!

Our great balloon arches are sure to get your guests talking and will be a great addition when decorating your venue. Why not try adding fresh flowers and foliage to your balloon arch (not included). Perfect for a wedding or any celebration


15 x 5&quot; - White Balloons 
15 x 5&quot; - White Balloons - Pearl
20 x12&quot; - White Balloons - Pearl
10 x 12&quot; - White Balloons
8 x 12&quot; - Confetti Balloons - white confetti
2 x 18&quot; - White Balloons 
4m (13 feet) Balloon Tape and glue dots.

This balloon arch is easy to set up.  You&#39;ll want a balloon pump (sold separately in the shop) and a lot about 1 - 1.5 hours to blow up balloons and assemble.  The balloon tape (which is a flexible plastic strip with holes down the length) is what allows the arch to have its form (no wireframe.)  You pull the balloon knots thru the holes and build your arch.  The tape can be cut and multiple smaller arrangements can be made.  You&#39;ll be surprised how easy it is!

Complete your whole party with EnFete.  Everything from cups and plates, to toppers, banners, and games - all perfectly coordinated to help you pull together the perfect party!

Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573488757,1583939557,1552403175,1573488757,41.50,USD,36,['GR-BA-306'],"['balloon arch kit', 'balloon backdrop', 'dramatic backdrop', 'oh baby shower', 'birthday party decor', 'DIY balloon bouquet', 'first birthday', 'floral bridal shower', 'white balloons', 'rustic wedding decor', 'balloon garland', 'baby its cold', 'winter baby shower']",['Supplies'],[69150433],['Latex'],20790664,,1552403176,https://www.etsy.com/listing/690017943/white-balloon-garland-kit-70-balloons?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,396,51,30193416802,1,3,someone_else,true,2010_2019,8,oz,8,8,3,in,False,,,,False,True,False,,True,en-US,False,6610,"['Craft Supplies & Tools', 'Party & Gifting', 'Party Supplies', 'Balloons']",False,False
683127437,active,100252069,69150433,"Silver Confetti Balloons, Disco Party, Bride and Co","Decorate your venue in style with our &#39;Silver Confetti Balloons&#39;. Guests will love the silver shiny confetti which floats away as you celebrate! A gorgeous balloon for a perfect party!  Use for a Breakfast at Tiffany&#39;s, Bride and Co, or Baby and Co shower for beautiful pops of silver!


Inflate the balloons with helium and air. Give the balloon a shake to wake the confetti! Please note string is not included. Combine with more from my silver collection for a stunning party set up.

Each pack contains five silver confetti balloons measuring 12&quot; (Diameter).

Balloon is shipped flat - just add air or helium on arrival! 

HOW MANY?
This listing is for FIVE clear 12 inch balloon filled with ROUND SILVER CONFETTI

IS THE TAIL INCLUDED?
No, tails are optional and purchased separately - you can select one of the ribbon tail options as an additional item and add to your cart!  Each set of tails includes 5 sheer ribbon tails (3 feet long each.) Select color from drop down.

Please note, when filled with helium confetti settles and can be shaken to help increase &#39;static&#39; to stick to sides   Filling with plain air gives a more dramatic look and more confetti sticks to the sides.  Not a toy!


Complete your whole party with EnFete – browse the shop to find matching boutique party supplies – everything from cups and plates, to banners and balloons.  Everything you need to put together a perfectly coordinated party.

Subscribe to receive info on new items & sales, party tips and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573488631,1583939431,1550152581,1573488631,3.00,USD,48,['GR-PM-197'],"['birthday balloons', 'wedding balloons', 'clear balloons', 'confetti balloons', 'baby shower', 'bridal shower', 'confetti filled', 'glam balloons', 'balloon bouquet', 'silver confetti', 'bride and co shower', 'baby and co', 'breakfast at tiffany']",['Supplies'],[69150433],['Latex'],20790664,,1550173804,https://www.etsy.com/listing/683127437/silver-confetti-balloons-disco-party?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,428,133,30193416802,1,3,someone_else,true,2010_2019,3,oz,8,4,2,in,False,,,,False,False,False,,False,en-US,True,6610,"['Craft Supplies & Tools', 'Party & Gifting', 'Party Supplies', 'Balloons']",False,False
683735361,active,100252069,69150367,"Gold Wedding Photo Props, Wedding Photo Booth Cutouts","Make your big day memorable by capturing pictures of you and your loved ones using this fun Wedding Photo Booth Prop pack. 

Create your own Photo Booth fun by posing with these lovely novelty props.

1 -bow tie
1- lips
1 - diamond ring
1- champagne glass
1- heart shaped glasses
1- love glasses
1- the big day heart
1- moustache
1- team groom arrow
1-team bride arrow.

Each prop comes complete with wooden sticks.

Each pack contains 10 props measuring: 7.5inches (W) x 9.75(H). Each prop varies in size.

Check out the shop for Photo Booth Fringe and Other Backdrops!


Subscribe for updates, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573488507,1583939307,1550352296,1573488507,11.00,USD,29,['GR-GO-143'],"['photo booth props', 'instagram props', 'champagne photo prop', 'photo booth ideas', 'photo backdrop', 'wedding photo props', 'best day ever', 'wedding games', 'team bride', 'rustic wedding decor', 'wedding photo booth', 'engagement photo', 'gold wedding']",['Paper Goods'],[69150367],"['lots of love', '10 photo booth props']",25201797,,1552334883,https://www.etsy.com/listing/683735361/gold-wedding-photo-props-wedding-photo?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,1491,242,49554166468,1,1,someone_else,true,2010_2019,8,oz,8,6,4,in,False,,,,False,False,False,,True,en-US,False,1332,"['Paper & Party Supplies', 'Party Supplies', 'Party Décor', 'Backdrops & Props']",False,False
668431724,active,100252069,69150433,"Baby Girl Baby Shower Balloons, Rose Gold and Pink Baby Girl Balloons, Mom to Be Balloons","The cutest balloons for an adorable baby shower our &#39;Baby Girl &#39; balloon will be a fun finishing touch to your party. Wow the mom to be and have these dotted around your venue for a dreamy baby shower! Filled with pink and rose gold confetti!

Inflate these balloons with helium and air. Give the balloon a shake to wake the confetti! 

Combine with our tassel garlands or ribbon tails for an oh baby perfect day!

Each pack contains 5 balloons measuring 12&quot; (Diameter).

Balloons are shipped flat - just add air or helium on arrival! 

HOW MANY?

This listing is for FIVE clear 12-inch balloons filled with ROUND PINK AND ROSE GOLD CONFETTI.

IS THE TAIL INCLUDED?
No, tails are optional and purchased separately - you can select one of the ribbon tail options as an additional item and add to your cart!  Each set of tails includes 5 sheer ribbon tails (3 feet long each.) Select color from drop down.


Please note, when filled with helium confetti settles and can be shaken to help increase &#39;static&#39; to stick to sides   Filling with plain air gives a more dramatic look and more confetti sticks to the sides (You can add a few puffs of regular air to the balloons before helium for best results!).  Not a toy!


Lots more Baby Shower Decor in the shop - everything from shabby chic to sleek and modern.  You can complete your WHOLE PARTY with EnFete - take a stroll around the shop!

Subscribe to receive info on new items & sales, party tips, and free printables at:

https://pages.convertkit.com/ceba5cd529/b18dafea38",1573486108,1583936908,1549893844,1573486108,3.00,USD,108,"['HM-IVYTL', 'HM-WHITL', 'HM-GRNTL', 'HM-BLKTAIL', 'GR-TW-801', 'HM-TURQTL', 'HM--HTPNKTL', 'HM-BBTAIL']","['confetti balloons', 'confetti filled', 'balloon bouquet', 'oh baby balloons', 'baby shower decor', 'baby girl shower', 'sip and see decor', 'mom to be gift', 'pink baby balloons', 'baby shower backdrop', 'maternity photo', 'pink confetti', 'Baby girl balloons']",['Supplies'],[69150433],['Latex'],20790664,,1573261363,https://www.etsy.com/listing/668431724/baby-girl-baby-shower-balloons-rose-gold?utm_source=enfeteshop&utm_medium=api&utm_campaign=api,1687,248,30193416802,1,3,someone_else,true,2010_2019,3,oz,8,4,2,in,False,,,,False,False,False,,False,en-US,True,6610,"['Craft Supplies & Tools', 'Party & Gifting', 'Party Supplies', 'Balloons']",False,False
